The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
北投區,房地(土地+建物),臺北市北投區溫泉路65巷16號11樓之8,5.22,其他,,,1081002,土地2建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,670104,56.9,2,1,1,有,有,8500000,149385,,0,0,含增建或未登記建物。；,RPPQMLLKJIOFFEA67CA,44.1,0,7,,
北投區,房地(土地+建物),臺北市北投區知行路336號8樓之3,10.2,住,,,1081010,土地1建物1車位0,八層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,860122,70.18,2,1,1,有,有,8400000,119692,,0,0,含增建或未登記建物。；,RPOOMLMKJIOFFEA47CA,35.06,3.39,7.29,,
士林區,房地(土地+建物),臺北市士林區中社路二段１８５巷２弄４號四樓,94.12,住,,,1081007,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,650103,102.92,4,2,2,有,無,11000000,106879,,0,0,,RPPOMLMKJIOFFEA57CA,102.92,0,0,,
北投區,房地(土地+建物),臺北市北投區幽雅路７號四樓之１４,7.88,其他,,,1081016,土地1建物1車位0,四層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,980205,48.8,0,0,0,無,有,4880000,100000,,0,0,陽台外推本成交資訊係由不動產經紀業提供屬實,RPPNMLNKJIOFFEA57CA,24.92,1.13,4.76,,
士林區,房地(土地+建物),臺北市士林區德行東路330號4樓,33.24,住,,,1080930,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710707,114.1,3,2,2,有,無,15500000,135846,,0,0,含增建或未登記建物。；,RPXNMLNKJIOFFEA38CA,100.67,0,13.43,,
士林區,房地(土地+建物),臺北市士林區承德路四段１０巷５８號,30.75,住,,,1081022,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,83.48,2,1,1,有,無,17800000,213225,,0,0,,RPWOMLNKJIOFFEA38CA,83.48,0,0,,
北投區,房地(土地+建物),臺北市北投區中央北路一段２０２號、２０４號,115,商,,,1080922,土地2建物1車位0,全,一層,透天厝,住商用,磚造,751111,107.66,2,1,3,有,無,42000000,390117,,0,0,頂樓增建及一、二樓法定空地蓋滿,RPTOMLMLJIOFFEA08CA,107.66,0,0,,
北投區,房地(土地+建物),臺北市北投區中山路１之９號,4.13,其他,,,1081009,土地1建物1車位0,一層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,670404,25.5,1,0,1,有,無,2500000,98039,,0,0,,RPVNMLTJKIOFFEA78CA,20.83,1.55,0,,
北投區,房地(土地+建物),臺北市北投區實踐街１７號三樓,28.4,住,,,1080923,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,651113,91.42,3,2,2,有,無,10000000,109385,,0,0,,RPSPMLKKKIOFFEA87CA,91.42,0,0,,
大安區,房地(土地+建物),臺北市大安區永康街23巷22號5樓,25.38,住,,,1080731,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,801024,115.37,3,2,1,有,無,31600000,273901,,0,0,含增建或未登記建物。；,RPQOMLLKJIOFFFA67CA,47.05,29.36,7.65,,
大安區,房地(土地+建物),臺北市大安區仁愛路四段419之1號,20.74,其他,,,1080826,土地1建物1車位0,一層,十四層,店面(店鋪),商業用,鋼筋混凝土造,710227,146.52,0,2,1,有,有,55000000,375375,,0,0,含增建或未登記建物。；,RPQNMLMKJIOFFFA67CA,107.14,0,19.43,,
大安區,房地(土地+建物),臺北市大安區仁愛路三段123巷11弄6之3號,50,住,,,1080731,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),,加強磚造,,138.81,4,2,2,有,無,34500000,248541,,0,0,含增建或未登記建物。；,RPUNMLMKJIOFFFA08CA,138.81,0,0,,
大安區,房地(土地+建物),臺北市大安區信義路三段105號12樓之2,3.31,商,,,1081016,土地2建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960322,38.94,0,0,0,無,有,14000000,359527,,0,0,,RPPOMLOKJIOFFFA87CA,21,0.62,2.65,,
大安區,房地(土地+建物),臺北市大安區富陽街165號5樓之1,11.75,住,,,1081005,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940506,54.38,1,1,1,有,有,12880000,236852,,0,0,,RPVOMLSKJIOFFFA88CA,33.16,0.76,4.21,,
大安區,房地(土地+建物),臺北市大安區敦化南路一段２０５號十三樓之６,8.2,其他,,,1081008,土地2建物1車位0,十三層,十四層,辦公商業大樓,住家用,鋼筋混凝土造,,91.09,0,0,0,無,有,24000000,263476,,0,0,營業稅由買方負擔,RPTOMLTKJIOFFFA78CA,61.88,0,0,,
大安區,房地(土地+建物),臺北市大安區通化街３９巷４９弄１０號,31.5,住,,,1081010,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,871001,61.78,0,0,0,無,無,14700000,237941,,0,0,,RPQNMLRLJIOFFFA28CA,55.03,0,0,,
大安區,房地(土地+建物),臺北市大安區延吉街70巷2弄12之2號,24,住,,,1081004,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,601208,80.57,3,2,1,有,無,15700000,194862,,0,0,,RPPOMLRLJIOFFFA28CA,67.86,0,12.71,,
文山區,房地(土地+建物),臺北市文山區福興路７８巷２０弄７５號２樓,36.33,住,,,1080911,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,781114,109,3,2,2,有,有,12800000,117431,,0,0,,RPTNMLOKJIOFFAA77DA,91.9,0,10.53,,
南港區,房地(土地+建物),臺北市南港區研究院路二段７０巷４７弄２８號３樓,26.78,住,,,1080903,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.53,4,2,2,有,有,20500000,157052,,0,0,,RPWPMLTKJIOFFDA09DA,109.89,0,20.64,,
南港區,房地(土地+建物),臺北市南港區合順街8巷5弄49號3樓,21.25,住,,,1080920,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,77,3,1,1,有,無,3900000,50649,,0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLPJKIOFFDA87DA,77,0,0,,
信義區,房地(土地+建物),臺北市信義區信義路六段３８號４樓,25.3,住,,,1081008,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,760825,131.75,3,2,2,有,無,23850000,181025,,0,0,含增建或未登記建物。,RPUOMLRLJIOFFDA68DA,105.17,0,12.1,,
北投區,房地(土地+建物),臺北市北投區中央北路2段95巷1弄32號2樓,19.83,住,,,1081025,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,661229,85.8,2,2,1,有,無,2660000,31002,,0,0,親友、員工或其他特殊關係間之交易。；,RPVNMLNKJIOFFEA28DA,74.5,0,11.3,,
士林區,房地(土地+建物),臺北市士林區大南路３２５號９樓之７,6.29,工,,,1080808,土地1建物1車位0,九層,十四層,其他,見其他登記事項,鋼筋混凝土造,961205,41.69,0,1,1,有,有,7440000,178460,,0,0,,RPPOMLOKJIOFFEA87DA,24.33,0,2.97,,
北投區,房地(土地+建物),臺北市北投區懷德街１０５巷４號,36.75,住,,,1081015,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,621114,87.3,2,2,1,有,無,19100000,218786,,0,0,含增建或未登記建物。,RPSPMLPKJIOFFEA38DA,87.3,0,0,,
士林區,房地(土地+建物),臺北市士林區天母西路３號７樓之１３,16.36,其他,,,1081011,土地2建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,670125,106.65,1,2,1,有,有,16200000,151899,,0,0,含增建或未登記建物。；含增建或未登記建物。,RPRSMLPKJIOFFEA58DA,72.13,0,20.3,,
大安區,房地(土地+建物),臺北市大安區安和路二段８１號６樓之１,7.13,住,,,1081007,土地2建物1車位0,六層,九層,套房(1房1廳1衛),商業用,鋼筋混凝土造,851227,38.62,1,1,1,有,有,10300000,266701,,0,0,含增建或未登記建物。,RPOOMLPKJIOFFFA97DA,21.9,0.53,2.42,,
大安區,房地(土地+建物),臺北市大安區仁愛路四段４０４號４樓,20.57,其他,,,1080831,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,185.77,3,2,2,有,有,51000000,274533,,0,0,含增建或未登記建物。,RPOPMLKLJIOFFFA67DA,141.37,0,23.93,,
大安區,房地(土地+建物),臺北市大安區和平東路三段１１１號４樓之１,10.48,商,,,1080929,土地1建物1車位0,四層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,721108,120.55,2,1,2,有,有,23000000,190792,,0,0,含增建或未登記建物。,RPPOMLLLJIOFFFA77DA,89.64,0,12.35,,
大安區,房地(土地+建物),臺北市大安區和平東路三段111號四樓,12.55,商,,,1080929,土地1建物1車位0,四層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,721108,139.04,3,2,1,有,有,26000000,186997,,0,0,含增建或未登記建物。；,SPPOMLLLJIOFFFA87DA,107.61,0,9.14,,
內湖區,房地(土地+建物),臺北市內湖區內湖路一段９１巷３９弄１９號５樓,22.84,住,,,1081019,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,741218,113.53,4,2,2,有,無,12160000,107118,,0,0,含增建或未登記建物。,RPVTMLMKJIOFFCA58DA,90.25,0,10.97,,
內湖區,房地(土地+建物),臺北市內湖區民權東路六段318號,11.77,商,,,1081018,土地1建物1車位0,一層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,751106,102.52,4,2,2,有,有,25300000,246781,,0,0,,RPRQMLNKJIOFFCA97DA,63.54,10.82,0,,
萬華區,房地(土地+建物),臺北市萬華區長泰街７３巷２之３號２樓,26,住,,,1080903,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660118,78.65,1,0,1,有,無,8230000,104641,,0,0,,RPPPMLQLJIOFFBA97DA,70.53,0,8.12,,
大同區,房地(土地+建物),臺北市大同區迪化街二段２６０之１號４樓,21.5,住,,,1080929,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620608,79.59,3,1,1,有,無,7830000,98379,,0,0,含增建或未登記建物。,RPUNMLOKJIOFFBA97DA,79.59,0,0,,
文山區,房地(土地+建物),臺北市文山區興隆路二段２０３巷９４號１０樓,18.93,住,,,1080813,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,860623,78.04,2,2,1,有,有,11800000,151205,,0,0,,RPQNMLPLJIOFFAA67DA,52.2,0.79,7.33,,
中正區,房地(土地+建物),臺北市中正區三元街２１７號８樓之３,6.36,住,,,1080820,土地1建物1車位0,八層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,810910,32,0,1,1,有,有,5920000,185000,,0,0,含增建或未登記建物。,RPTRMLMJKIOFFAA97DA,20.33,0.47,2.83,,
大安區,房地(土地+建物),臺北市大安區羅斯福路二段７７巷１２之２號三樓,32.95,住,,,1081001,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700417,116.56,3,2,2,有,無,23200000,199039,,0,0,,RPXOMLTKJIOFFFA56CA,95.6,0,10.81,,
