The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
中山區,房地(土地+建物),臺北市中山區伊通街８７巷４號,82,住,,,1081205,土地1建物3車位0,全,三層,透天厝,,加強磚造,,208.5,6,2,8,有,無,55000000,263789,,0,0,,RPXSMLKMKIOFFCA78DA,208.5,0,0,,
內湖區,房地(土地+建物),臺北市內湖區環山路一段１３６巷１２弄１０號３樓,38.35,住,,,1081110,土地2建物1車位0,三層，通道,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660623,92.14,3,2,1,有,無,13200000,143260,,0,0,含增建或未登記建物。權利人共2人。,RPQOMLMJJHPFFCA47DA,81.92,0,10.22,,
內湖區,房地(土地+建物),臺北市內湖區民權東路六段２９６巷６８號６樓之１,12.16,住,,,1081011,土地1建物1車位0,六層，電梯樓梯間,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850514,48.94,1,2,1,有,有,10000000,204332,,0,0,含增建或未登記建物。,RPPQMLMJJHPFFCA57DA,35.49,3.2,3.87,,
松山區,房地(土地+建物),臺北市松山區三民路６８巷６號６樓,30.79,住,,,1081115,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,810303,128.01,3,2,2,有,有,29800000,232794,,0,0,含增建或未登記建物。,RPPNMLOJJHPFFDA57DA,79.46,2.61,7.43,,
松山區,房地(土地+建物),臺北市松山區南京東路五段251巷24弄25號,16.07,住,,,1081118,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,691015,75.4,2,2,1,有,無,19000000,251989,,0,0,親友、員工或其他特殊關係間之交易。；,RPUOMLLMKIOFFDA28DA,55.04,8.51,0,,
大安區,房地(土地+建物),臺北市大安區辛亥路二段171巷11號3樓,30.25,住,,,1081203,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,86.09,3,2,1,有,無,15000000,174236,,0,0,親友、員工或其他特殊關係間之交易。；,RPQOMLKMKIOFFFA97DA,86.09,0,0,,
北投區,房地(土地+建物),臺北市北投區實踐街４８巷１７號３樓,32.5,住,,,1081215,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620430,109.63,3,2,2,有,無,14800000,135000,,0,0,含增建或未登記建物。,RPRNMLLJJHPFFEA57DA,89.27,0,20.36,,
北投區,房地(土地+建物),臺北市北投區致遠一路二段１１２巷８號５樓,33.8,住,,,1081124,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660915,102.96,6,3,3,有,無,11800000,114608,,0,0,含增建或未登記建物。,RPXPMLQJJHPFFEA88DA,92.22,0,10.74,,
北投區,房地(土地+建物),臺北市北投區東陽街４８９號,24.8,住,,,1081026,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,620515,26.88,2,2,2,有,無,10000000,372024,,0,0,,RPPNMLNKJHPFFEA67DA,26.88,0,0,,
士林區,房地(土地+建物),臺北市士林區雨聲街65巷15號1樓,32.15,住,,,1081111,土地1建物2車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750902,137.21,4,2,2,有,無,14000000,102033,,0,0,親友、員工或其他特殊關係間之交易。；,RPPPMLKMJHPFFEA77DA,126.11,7.62,0,,
信義區,房地(土地+建物),臺北市信義區忠孝東路五段３７２巷２７弄７２號７樓,15.07,住,,,1080707,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,75.55,4,2,2,有,有,19800000,262078,,0,0,含增建或未登記建物。,RPUPMLNJJHPFFDA18DA,50.53,2.07,8.36,,
信義區,房地(土地+建物),臺北市信義區吳興街352號六樓之2,25.4,住,,,1081126,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,711115,117.83,4,2,2,有,無,19500000,165493,,0,0,,RPUNMLLMKIOFFDA18DA,81.82,0,20.75,,
內湖區,房地(土地+建物),臺北市內湖區金龍路１３２號４樓,20.16,住,,,1081124,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701229,74.53,3,2,1,有,無,10200000,136858,,0,0,含增建或未登記建物。,RPROMLMJJHPFFCA57DA,64.5,0,10.03,,
文山區,房地(土地+建物),臺北市文山區景仁街77巷5弄4號二樓,39,住,,,1081201,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),見其他登記事項,加強磚造,570603,99.76,3,2,1,有,無,13700000,137330,,0,0,,RPRNMLKMKIOFFAA47DA,85.85,0,13.91,,
大同區,房地(土地+建物),臺北市大同區酒泉街３１號,49.47,商,,,1081205,土地3建物2車位0,一層,七層,店面(店鋪),住家用,鋼筋混凝土造,671028,202.51,3,2,1,有,有,39600000,195546,,0,0,含增建或未登記建物。兩戶打通,RPVPMLNKJHPFFBA18DA,187.36,15.15,0,,
大同區,房地(土地+建物),臺北市大同區民族西路３１巷３２之２號,25,商,,,1081202,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,610320,87.97,3,2,1,有,無,13300000,151188,,0,0,含增建或未登記建物。,RPUOMLMJJHPFFBA77DA,87.97,0,0,,
士林區,房地(土地+建物),臺北市士林區葫蘆街69號,42.25,住,,,1081015,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670112,107.69,0,0,0,無,無,17200000,159718,,0,0,含增建或未登記建物。；,RPUNMLKMJHPFFEA97CA,94.28,13.41,0,,
大安區,房地(土地+建物),臺北市大安區忠孝東路四段223巷52號六樓,26.74,住,,,1081108,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,760430,130.01,3,2,2,有,有,31500000,242289,,0,0,,RPQOMLRJJHPFFFA18CA,105.09,0,15.59,,
大安區,房地(土地+建物),臺北市大安區仁愛路四段62號14樓之7,4.52,其他,,,1081018,土地2建物1車位0,十四層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,,45.02,1,1,1,有,有,13500000,299867,,0,0,含增建或未登記建物。；,RPWNMLKMKIOFFFA38CA,33.72,0,4.5,,
大安區,房地(土地+建物),臺北市大安區泰順街３６號,2.49,住,,,1080923,土地3建物2車位0,一層，平台,四層,店面(店鋪),,鋼筋混凝土造,,7,0,0,0,無,無,1910000,272857,,0,0,包含公共設施保留地之交易。；,RPRNMLLMKIOFFFA97CA,7,0,0,,
北投區,房地(土地+建物),臺北市北投區行義路142之1號8樓,23.11,住,,,1081129,土地2建物1車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,701120,160.83,4,2,2,有,有,16600000,103215,,0,0,含增建或未登記建物。；,RPRNMLLMKIOFFEA87CA,100.71,0,27.75,,
士林區,房地(土地+建物),臺北市士林區通河街３２３巷３５之１號,11.71,住,,,1081206,土地1建物1車位0,一層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,,29.48,1,1,1,有,有,3500000,118725,,0,0,親友、員工或其他特殊關係間之交易。；親友、員工或其他特殊關係間之交易。,RPXNMLLMKIOFFEA48CA,26.28,1.85,1.35,,
北投區,房地(土地+建物),臺北市北投區中央北路二段３０５號,14.73,住,,,1081204,土地3建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,720802,48.29,4,1,1,有,無,4500000,93187,,0,0,親友、員工或其他特殊關係間之交易。；,RPQOMLLMKIOFFEA87CA,44.52,3.77,0,,
北投區,房地(土地+建物),臺北市北投區中央北路二段３０５號二樓,14.73,住,,,1081204,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720802,47.93,4,1,1,有,無,4500000,93887,,0,0,親友、員工或其他特殊關係間之交易。；,SPQOMLLMKIOFFEA97CA,41.58,0,6.34,,
士林區,房地(土地+建物),臺北市士林區建業路３６巷１５號,103.65,其他,,,1081127,土地1建物2車位0,一層,二層,公寓(5樓含以下無電梯),住家用,加強磚造,600105,109.2,2,1,2,有,無,12000000,109890,,0,0,含增建或未登記建物。；,RPUOMLTJJHPFFEA68CA,98.8,5.2,5.2,,
士林區,房地(土地+建物),臺北市士林區中正路６６６號九樓,19.25,住,,,1080915,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,790531,107.26,2,2,2,有,有,13200000,123065,,0,0,親友、員工或其他特殊關係間之交易。；本案依土地法34條之1程序處分共有物,RPXOMLKKJHPFFEA18CA,77.81,11.86,9.26,,
信義區,房地(土地+建物),臺北市信義區青雲街２５號,250,住,,,1081123,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,741228,247.12,4,3,3,有,有,50000000,202331,,0,0,含增建或未登記建物。；,RPUNMLRKJHPFFDA38CA,161.48,58.93,26.71,,
松山區,房地(土地+建物),臺北市松山區民生東路5段153號9樓之1,6.73,商,,,1080925,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720129,77.36,2,1,2,有,有,15300000,197777,,0,0,親友、員工或其他特殊關係間之交易。；二等親買賣,RPVNMLKKKHPFFDA87CA,59.36,0,6.09,,
南港區,房地(土地+建物),臺北市南港區福德街３３９巷５弄２０號三樓,21.25,住,,,1081018,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660521,61.2,3,2,1,有,無,5700000,93137,,0,0,,RPTPMLOKJHPFFDA18CA,55.32,0,5.88,,
松山區,房地(土地+建物),臺北市松山區五常街３６８號二樓,46.25,住,,,1081214,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,630822,117.59,3,2,1,有,無,17650000,150098,,0,0,,RPRNMLRJJHPFFDA97CA,104.24,0,13.35,,
松山區,房地(土地+建物),臺北市松山區南京東路五段３１６號三樓之５,10.31,商,,,1081120,土地1建物1車位0,三層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,780621,115.81,0,0,0,無,有,23000000,198618,,0,0,,RPOQMLRJJHPFFDA97CA,76.01,0,19.17,,
信義區,房地(土地+建物),臺北市信義區永吉路２２５巷３２弄１４號,28.5,住,,,1081024,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670524,76.92,3,2,1,有,無,8000000,104004,,0,0,親友、員工或其他特殊關係間之交易。；,RPPPMLNJJHPFFDA57CA,66.24,10.68,0,,
大同區,房地(土地+建物),臺北市大同區延平北路二段１２７號三樓之１４,7.31,其他,,,1081005,土地3建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,65.42,2,1,1,有,有,9000000,137573,,0,0,,RPTOMLPKJHPFFBA97CA,51.52,0,3.55,,
大同區,房地(土地+建物),臺北市大同區南京西路２７６號七樓之１,5.16,商,,,1081115,土地1建物1車位0,七層,十三層,套房(1房1廳1衛),商業用,鋼筋混凝土造,891118,46.71,1,1,1,有,有,10500000,224791,,0,0,含增建或未登記建物。；,RPXNMLNKJHPFFBA08CA,20.84,0,10.04,,
萬華區,房地(土地+建物),臺北市萬華區康定路１０４號,353,商,,,1080424,土地2建物3車位0,全,二層,透天厝,,磚造,,488.61,6,6,3,有,無,368400000,753976,,0,0,,RPVNMLKMJHPFFBA77CA,488.61,0,0,,
中山區,房地(土地+建物),臺北市中山區中山北路二段５９巷２１號１１樓之１１,5.25,商,,,1081124,土地1建物1車位0,十一層,十四層,套房(1房1廳1衛),商業用,鋼筋混凝土造,880427,37.19,1,1,1,有,有,8860000,238236,,0,0,,RPVQMLRJJHPFFCA58CA,23.65,0,3.15,,
中山區,房地(土地+建物),臺北市中山區建國北路二段２５８巷２６號六樓,34.29,住,,,1081202,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,681109,158.24,4,2,2,有,無,28680000,181244,,0,0,,RPPNMLPJJHPFFCA47CA,133.92,0,18.96,,
內湖區,房地(土地+建物),臺北市內湖區民權東路六段１９１巷１１７號,119.07,住,,,1081119,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,881217,255.55,3,2,3,有,有,45625000,178536,,0,0,親友、員工或其他特殊關係間之交易。；社區住戶間買賣,RPRNMLPJJHPFFCA67CA,203.65,5.73,30.68,,
內湖區,房地(土地+建物),臺北市內湖區民權東路六段１９１巷１１５號,119.07,住,,,1081119,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,881217,254.89,3,2,3,有,有,45625000,178999,,0,0,親友、員工或其他特殊關係間之交易。；社區住戶間買賣,RPSNMLPJJHPFFCA77CA,202.58,5.58,31.24,,
內湖區,房地(土地+建物),臺北市內湖區陽光街192號7樓,37.08,住,,,1081011,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,730207,104.27,3,2,1,有,有,15260000,146351,,0,0,含增建或未登記建物。；,RPSNMLLMKIOFFCA77CA,70.31,0,7.13,,
中山區,房地(土地+建物),臺北市中山區民生西路16號12樓之5,3.79,商,,,1081205,土地3建物1車位0,十二層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,690105,37.3,1,1,1,有,有,6200000,166220,,0,0,含增建或未登記建物。；,RPTNMLLMKIOFFCA87CA,27.45,0,2.71,,
內湖區,房地(土地+建物),臺北市內湖區潭美街３５１號三樓,31.5,工,,,1081024,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,670818,80.12,3,2,1,有,無,6000000,74888,,0,0,親友、員工或其他特殊關係間之交易。；,RPQRMLKMKIOFFCA87CA,73.7,0,6.42,,
中山區,房地(土地+建物),臺北市中山區中山北路二段45巷31號,41.12,商,,,1081029,土地1建物1車位0,一層，騎樓,四層,店面(店鋪),商業用,鋼筋混凝土造,630417,137.27,0,0,0,無,無,68000000,495374,,0,0,含增建或未登記建物。；,RPXPMLMJJHPFFCA18CA,137.27,0,0,,
內湖區,房地(土地+建物),臺北市內湖區內湖路一段４１１巷８９弄１５號四樓,39.11,住,,,1081201,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680922,105.46,4,2,2,有,無,15000000,142234,,0,0,含增建或未登記建物。；,RPUOMLMJJHPFFCA77CA,97.15,0,8.31,,
大同區,房地(土地+建物),臺北市大同區重慶北路一段26巷28號,37.5,商,,,1081209,土地3建物1車位0,一層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,750623,152.73,4,2,1,有,無,28000000,183330,,0,0,,RPXOMLSJJHPFFBA58CA,116.05,36.68,0,,
大同區,房地(土地+建物),臺北市大同區重慶北路三段334巷5弄6號2樓,26.75,住,,,1081125,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,641117,79.09,3,2,1,有,無,9330000,117967,,0,0,含增建或未登記建物。；,RPSNMLLMKIOFFBA67CA,67.78,0,11.31,,
萬華區,房地(土地+建物),臺北市萬華區國興路１巷１１號四樓,21.42,住,,,1081202,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,710702,81.66,2,2,1,有,無,11400000,139603,,0,0,,RPQNMLPJJHPFFBA47CA,56.14,0,5.96,,
中正區,房地(土地+建物),臺北市中正區愛國東路106號11樓之2,17.57,住,,,1080913,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,741022,100.84,2,2,1,有,無,26000000,257834,,0,0,含增建或未登記建物。；,RPPNMLKKJHPFFAA86CA,59.76,0,7.91,,
中正區,房地(土地+建物),臺北市中正區羅斯福路二段５６號十二樓之４,3.59,其他,,,1081122,土地3建物1車位0,十二層,十五層,套房(1房1廳1衛),商業用,鋼筋混凝土造,911125,39.19,1,1,1,有,有,10600000,270477,,0,0,含增建或未登記建物。；,RPWNMLKMKIOFFAA87CA,20.49,0,3.53,,
文山區,房地(土地+建物),臺北市文山區木柵路二段109巷100弄60之1號7樓,36.76,住,,,1081110,土地2建物1車位0,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850925,65.76,2,2,1,有,有,8030000,122111,,0,0,,RPQOMLMJJHPFFAA17CA,45.62,0,5.38,,
中正區,房地(土地+建物),臺北市中正區金門街11巷9號,49.33,住,,,1081126,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),,加強磚造,,115.29,3,2,2,有,無,23700000,205569,,0,0,含增建或未登記建物。；,RPQNMLMJJHPFFAA07CA,115.29,0,0,,
中正區,房地(土地+建物),臺北市中正區?門街１３５巷３號四樓,47.5,住,,,1081206,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,126.93,3,2,2,有,無,20700000,163082,,0,0,頂樓加蓋，陽台外推,RPTNMLRJJHPFFAA87CA,126.93,0,0,,
文山區,房地(土地+建物),臺北市文山區育英街３１巷３８弄１０號四樓,28,住,,,1081206,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,610418,80.62,2,2,1,有,無,11660000,144629,,0,0,,RPUNMLPKJHPFFAA87CA,80.62,0,0,,
萬華區,房地(土地+建物),臺北市萬華區漢中街8號4樓之4、4樓之5,13.12,商,,,1081117,土地3建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,670719,89.19,3,2,2,有,有,16000000,179392,,0,0,含增建或未登記建物。；,RPSNMLMJJHPFFBA37CA,54.42,0,21.3,,
萬華區,房地(土地+建物),臺北市萬華區長順街30號4樓,22.53,住,,,1081118,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,561129,56.13,3,2,1,有,有,6800000,121147,,0,0,含增建或未登記建物。；,RPUNMLMJJHPFFBA57CA,50.51,0,5.62,,
中山區,房地(土地+建物),臺北市中山區合江街116巷25號,49.5,住,,,1081207,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660420,116.54,2,2,2,有,無,27800000,238545,,0,0,含增建或未登記建物。；,RPPQMLLMKIOFFCA77CA,103.72,12.82,0,,
中山區,房地(土地+建物),臺北市中山區林森北路416巷1號七樓之3,3.11,商,,,1081114,土地1建物1車位0,七層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,650909,29.56,1,1,1,有,有,4380000,148173,,0,0,,RPVNMLMJJHPFFCA77CA,22.28,0,0,,
中山區,房地(土地+建物),臺北市中山區撫順街9號6樓之5,4.82,商,,,1081130,土地1建物1車位0,六層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,770116,35.9,1,1,1,有,有,6700000,186630,,0,0,含增建或未登記建物。；,RPXNMLMJJHPFFCA97CA,25.64,0,4.7,,
內湖區,房地(土地+建物),臺北市內湖區成功路三段187巷17號4樓,28.69,住,,,1081124,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690331,86.23,3,2,1,有,無,12750000,147860,,0,0,含增建或未登記建物。；,RPOOMLMJJHPFFCA17CA,71.92,0,14.31,,
內湖區,房地(土地+建物),臺北市內湖區康寧路三段99巷17弄28號2樓,28.27,住,,,1081103,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,731026,101.62,3,2,2,有,無,14100000,138752,,0,0,含增建或未登記建物。；,RPRQMLLMKIOFFCA97CA,84.92,0,8.9,,
內湖區,房地(土地+建物),臺北市內湖區陽光街92巷18弄6號二樓,20.58,住,,,1081211,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,711224,68.05,2,2,1,有,無,10600000,155768,,0,0,,RPQOMLNJJHPFFCA47CA,61.11,0,6.94,,
中山區,房地(土地+建物),臺北市中山區南京東路三段223巷18號3樓,18.66,住,,,1081112,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,740114,93.87,3,1,1,有,有,18000000,191755,,0,0,陽台外推,RPPOMLLMKIOFFCA57CA,70.55,4.67,10.18,,
中山區,房地(土地+建物),臺北市中山區中山北路三段５５巷２０號七樓,6.49,商,,,1081211,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,690930,45.76,1,1,1,有,無,2316361,50620,,0,0,親友、員工或其他特殊關係間之交易。；,RPQPMLQKJHPFFCA97CA,32.52,0,4.95,,
中山區,房地(土地+建物),臺北市中山區遼寧街１０５巷３５號三樓,20.78,住,,,1081116,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,690918,83.37,2,2,1,有,有,19800000,237496,,0,0,含增建或未登記建物。；,RPQNMLPJJHPFFCA57CA,60.62,0,10.29,,
中山區,房地(土地+建物),臺北市中山區長春路４０號六樓之４,10.23,商,,,1081120,土地1建物2車位0,六層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,730326,119.38,0,0,0,無,有,21500000,180097,,0,0,含增建或未登記建物。；,RPROMLQJJHPFFCA87CA,90.58,0,0,,
中正區,房地(土地+建物),臺北市中正區重慶南路一段４３號十一樓之６,3.39,商,,,1081218,土地1建物1車位0,十一層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,750805,32.37,0,1,1,有,有,5380000,166203,,0,0,,RPVOMLPKJHPFFBA18CA,25.82,0,0,,
松山區,房地(土地+建物),臺北市松山區三民路113巷22號十二樓,15.16,商,,,1081012,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,690521,126.12,3,2,2,有,有,28000000,222011,,0,0,含增建或未登記建物。；,RPPOMLLMKIOFFDA67CA,89.01,0,24.59,,
松山區,房地(土地+建物),臺北市松山區八德路三段12巷53弄29號5樓,19.79,住,,,1081127,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730301,75.19,2,2,1,有,無,18580000,247107,,0,0,含增建或未登記建物。；,RPPNMLMJJHPFFDA27CA,62.61,0,6.26,,
南港區,房地(土地+建物),臺北市南港區成福路１７１巷４０弄２０號四樓,26.16,住,,,1081207,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,88.89,3,2,1,有,無,10800000,121498,,0,0,賣方不負擔瑕疵擔保，總價酌減45萬元整。,RPXNMLQJJHPFFDA48CA,59.72,0,12.86,,
松山區,房地(土地+建物),臺北市松山區民權東路三段１０６巷２１弄１０號二樓,34.1,住,,,1081112,土地2建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,720519,198.44,4,2,2,有,有,15000000,75590,,0,0,親友、員工或其他特殊關係間之交易。；,RPUOMLMLJHPFFDA08CA,158.74,0,19.97,,
松山區,房地(土地+建物),臺北市松山區南京東路四段７５巷２６號五樓,36.83,住,,,1081202,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,720827,160.08,3,2,2,有,無,33380000,208521,,0,0,,RPXPMLMLJHPFFDA48CA,108.55,0,27.17,,
內湖區,房地(土地+建物),臺北市內湖區港華街85巷6號三樓,35.44,住,,,1081206,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690704,118.47,3,2,2,有,無,16500000,139276,,0,0,,RPQOMLKMJHPFFCA47CA,109.24,0,9.23,,
內湖區,房地(土地+建物),臺北市內湖區港華街85巷6號四樓,35.44,住,,,1081206,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690704,118.47,3,2,2,有,無,16500000,139276,,0,0,,SPQOMLKMJHPFFCA57CA,109.24,0,9.23,,
士林區,房地(土地+建物),臺北市士林區承德路四段２９號七樓,26.52,住,,,1081118,土地2建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,890705,154.49,4,1,2,有,有,23000000,148877,,0,0,車位屬國宅定期抽籤全體住戶共有使用,RPSNMLTJJHPFFEA38CA,84.15,0,8.64,,
北投區,房地(土地+建物),臺北市北投區文林北路10之1號4樓,44.97,住,,,1081203,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021021,195.34,3,2,2,有,有,32000000,163817,,0,0,,RPTPMLLMKIOFFEA28CA,103.63,0,14.5,,
北投區,房地(土地+建物),臺北市北投區同德街32號3樓,29.58,住,,,1081201,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730619,110.76,3,2,2,有,有,11000000,99314,,0,0,含增建或未登記建物。；,RPRNMLMJJHPFFEA57CA,91.25,0,10.45,,
北投區,房地(土地+建物),臺北市北投區新民路53之8號,4.8,住,,,1081207,土地1建物1車位0,一層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,970221,23.94,1,1,1,有,有,3088888,129026,,0,0,含增建或未登記建物。；,RPTNMLMJJHPFFEA77CA,13.08,2.45,0,,
大安區,房地(土地+建物),臺北市大安區安居街５９號五樓,15.6,住,,,1081113,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691217,54.32,3,2,2,有,無,7740000,142489,,0,0,親友、員工或其他特殊關係間之交易。；,RPWNMLMJJHPFFFA18CA,48.02,0,6.3,,
大安區,房地(土地+建物),臺北市大安區四維路１７０巷２２號三樓,23.3,住,,,1081209,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640430,67.21,2,2,1,有,無,15560000,231513,,0,0,,RPUNMLPKJHPFFFA38CA,67.21,0,0,,
大安區,房地(土地+建物),臺北市大安區復興南路一段１２６巷１號地下樓之３２,2.61,其他,,,1081216,土地10建物1車位0,地下層,十二層,店面(店鋪),商業用,鋼筋混凝土造,701231,19.82,0,0,0,無,無,1500000,75681,,0,0,,RPPNMLOLJHPFFFA87CA,7.42,0,0,,
大安區,房地(土地+建物),臺北市大安區延吉街１６１號二樓之１０,11.04,住,,,1081210,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,851210,54.37,2,2,1,有,有,12980000,238735,,0,0,,RPQNMLRJKHPFFFA18CA,33.04,4.35,4.66,,
北投區,房地(土地+建物),臺北市北投區清江路２１６號,76,住,,,1081215,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,570115,63.19,3,2,2,有,無,23500000,371894,,0,0,含增建或未登記建物。；,RPUPMLOJKHPFFEA38CA,63.19,0,0,,
北投區,房地(土地+建物),臺北市北投區湖山路１段14之6號,19.75,其他,,,1081129,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660722,88.81,0,0,0,無,有,8890000,100101,,0,0,,RPUNMLNJKHPFFEA08CA,66.88,14.4,0,,
