target,addr,date,target_number,floor,total_floor,building_state,house_age,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,cart_price
房地(土地+建物),富錦街481~510號,1100422,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),50,94.84,4,2,2,無,24000000,253058,0
房地(土地+建物),新生北路二段61~90號,1100421,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),49,37.98,2,1,1,有,5900000,155345,0
房地(土地+建物),信義路四段181~210號,1100421,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),25,43.67,2,1,1,有,16000000,366384,0
房地(土地+建物),永吉路30巷158弄1~30號,1100421,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),49,91.27,2,2,1,無,24500000,268434,0
房地(土地+建物),龍江路361~390號,1100421,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),42,95.59,3,2,2,無,18500000,193535,0
房地(土地+建物)+車位,金莊路91~120號,1100421,土地2建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),9,193.13,2,2,2,有,28800000,149122,0
房地(土地+建物)+車位,天母西路50巷1~30號,1100421,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),25,210.67,4,2,2,有,46500000,220724,0
房地(土地+建物),民生東路一段70巷1~30號,1100420,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),14,30.64,1,1,1,有,7050000,230091,0
房地(土地+建物),松江路181~210號,1100420,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),43,54.39,0,1,0,有,12600000,231618,0
房地(土地+建物)+車位,師大路181~210號,1100420,土地3建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),9,117.84,2,2,1,有,27300000,231670,0
房地(土地+建物)+車位,社中街210巷1~30號,1100420,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),1,97.91,0,0,1,有,12860000,143967,1000000
房地(土地+建物),民生東路四段80巷11弄1~30號,1100419,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),48,113.59,1,2,2,無,34300000,301963,0
房地(土地+建物),新生北路一段31~60號,1100419,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),37,146.3,0,0,0,有,27850000,190362,0
房地(土地+建物),南京東路三段335巷1~30號,1100419,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),35,42.49,1,1,1,有,10650000,250647,0
房地(土地+建物)+車位,中央北路四段515巷31~60號,1100419,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),7,88.24,2,1,1,有,10800000,122393,0
房地(土地+建物)+車位,八德路二段91~120號,1100419,土地2建物1車位2,十四層,二十層,住宅大樓(11層含以上有電梯),9,269.5,3,2,2,有,56660000,210253,5600000
