district,target,addr,date,target_number,floor,total_floor,building_state,main_use,complete_years,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,parking_type,parking_size,parking_price
萬華區,房地(土地+建物),臺北市萬華區青年路68巷18號5樓,1090425,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,640403,45.88,1,2,1,有,5000000,108980,,0,0
中山區,房地(土地+建物),臺北市中山區龍江路２２３巷６號５樓,1090422,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,830312,75.18,0,1,1,無,10500000,139665,,0,0
內湖區,房地(土地+建物),臺北市內湖區東湖路１１３巷１５號５樓,1090501,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,730419,135.27,5,3,3,無,17500000,129371,,0,0
北投區,房地(土地+建物),臺北市北投區石牌路一段166巷94號5樓,1090419,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,660323,55.82,2,1,1,無,9080000,162666,,0,0
中山區,房地(土地+建物),臺北市中山區松江路２２１巷２９號五樓,1090426,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,730716,158.94,3,2,2,有,31500000,198188,,0,0
內湖區,房地(土地+建物),臺北市內湖區內湖路一段７３７巷３３弄３號五樓,1090414,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,700105,103.76,3,2,1,無,16500000,159021,,0,0
文山區,房地(土地+建物),臺北市文山區興隆路四段179巷4號5樓,1090425,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,700521,103.89,3,2,1,無,10300000,99143,,0,0
中山區,房地(土地+建物),臺北市中山區四平街１０７號五樓之2,1090501,土地1建物1車位0,五層,十層,套房(1房1廳1衛),住家用,900827,41.91,1,1,1,有,10380000,247674,,0,0
南港區,房地(土地+建物),臺北市南港區重陽路187巷8號5樓之1,1090429,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),住家用,920210,217.23,4,2,2,有,38800000,178613,,0,0
大安區,房地(土地+建物),臺北市大安區新生南路一段９７巷１３之１號五樓,1090513,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,,107.12,5,0,5,無,22680000,211725,,0,0
信義區,房地(土地+建物),臺北市信義區基隆路二段１６５號５樓,1090427,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,661121,108.73,6,0,6,無,21500000,197738,,0,0
士林區,房地(土地+建物),臺北市士林區承德路四段12巷28號五樓之1,1090511,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,670421,58.06,2,2,1,無,9700000,167069,,0,0
北投區,房地(土地+建物),臺北市北投區立農街二段202巷9弄2號5樓,1090426,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,700609,97.38,3,2,2,無,13100000,134525,,0,0
中山區,房地(土地+建物),臺北市中山區市民大道三段１６７號五樓之１,1090421,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),住家用,970125,77.84,3,2,2,有,12560000,161357,,0,0
中山區,房地(土地+建物),臺北市中山區吉林路369號五樓之2,1090414,土地1建物1車位0,五層,七層,套房(1房1廳1衛),住家用,681219,45.02,1,1,1,有,7000000,155486,,0,0
信義區,房地(土地+建物),臺北市信義區忠孝東路五段790巷52號5樓,1090509,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,720111,110.79,3,2,2,無,16750000,151187,,0,0
大安區,房地(土地+建物),臺北市大安區樂利路５巷２０號五樓,1090518,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,730130,86.89,2,2,1,無,16800000,193348,,0,0
信義區,房地(土地+建物),臺北市信義區永吉路５３號５樓之５,1090421,土地1建物1車位0,五層,十四層,套房(1房1廳1衛),住家用,960524,38.84,1,1,1,有,8500000,218847,,0,0
大安區,房地(土地+建物),臺北市大安區延吉街１６１號五樓,1090415,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,851210,45.23,1,1,1,有,10750000,237674,,0,0
中山區,房地(土地+建物),臺北市中山區建國北路三段１４３號五樓,1090515,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,770801,69.5,2,2,2,無,13500000,194245,,0,0
大安區,房地(土地+建物),臺北市大安區師大路１０５巷３號５樓,1090421,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,680924,128.73,3,2,2,無,30000000,233046,,0,0
中正區,房地(土地+建物),臺北市中正區南昌路一段７４巷８號５樓,1090426,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,671027,64.37,2,2,1,無,13500000,209725,,0,0
